ID,SMILES,act_mean,Type
CHEMBL1080491,Clc1ccc(C2NC(c3ccc(Cl)cc3)C3CCCC2C3=NOCc2ccccc2)cc1,25,1
CHEMBL1080663,Cc1ccc(C2NC(c3ccc(C)cc3)C3CCCC2C3=NOCc2ccccc2)cc1,25,1
CHEMBL1080664,COc1ccc(C2NC(c3ccc(OC)cc3)C3CCCC2C3=NOCc2ccccc2)cc1,100,0
CHEMBL1080665,CN1C(c2ccccc2)C2CCCC(C2=NOCc2ccccc2)C1c1ccccc1,200,0
CHEMBL1080831,C=C1CC[C@@H]2[C@](C)(CC[C@H]3[C@@]2(C)CC[C@H]2C(C)(C)CC[C@@H](O)[C@@]23C)[C@H]1CNC(=N)N,0.83134,1
CHEMBL1080859,CCN(CC)c1nc2c(S(=O)(=O)c3ccc(C)cc3)nnn2c2cc(OC)c(OC)cc12,1.13885,1
CHEMBL1081146,CCCCCCCC/C=C\CCCCCCCc1nnc(Nc2ccccc2)o1,12.5,1
CHEMBL1081159,CC(CCCCCC/C=C/c1ccccc1)C[C@@]1(C)CC[C@](O)(CC(=O)O)OO1,128,0
CHEMBL108119,CN(CC(=O)O)NC(=O)C[C@H](N)CC1CC1N,256,0
CHEMBL1081289,CCN(CC)c1nc2c(S(=O)(=O)c3ccccc3)nnn2c2ccc(C)cc12,9.88725,1
CHEMBL1081322,CCCCCC[C@@H](O)C/C=C\CCCCCCCc1nnc(Nc2ccccc2)o1,6.25,1
CHEMBL1081323,CCCCC/C=C\CC[C@H](O)CCCCCCCc1nnc(Nc2ccccc2)o1,12.5,1
CHEMBL1081337,CC(C)C1=CC2=C[C@H]3OC(=O)[C@@]4(CCCC(C)(C)[C@H]34)C2=C(O)C1=O,20,1
CHEMBL108134,CCOC(=O)c1cn(-c2nccs2)c2nc(N3CCC(N)C3)c(F)cc2c1=O,50,0
CHEMBL1081340,CC(CCCCCCCCc1ccccc1)C[C@@]1(C)C[C@@H](C)[C@@](C)(O)OO1,64,0
CHEMBL1081465,CCN(CC)c1nc2c(S(=O)(=O)c3ccccc3)nnn2c2cc(Br)ccc12,46.036,0
CHEMBL1081466,CCN(CC)c1nc2c(S(=O)(=O)c3ccccc3)nnn2c2cc([N+](=O)[O-])ccc12,31.9845,1
CHEMBL10817,C=C1C(=O)c2cc(C)ccc2OC1c1ccccc1,6.2,1
CHEMBL1081845,CCN(c1nc2c(S(=O)(=O)c3ccc(C)cc3)nnn2c2cc(OC)c(OC)cc12)C(C)C,0.751312,1
CHEMBL1081987,CCN(CC)c1nc2c(S(=O)(=O)c3ccccc3)nnn2c2cc(OC)c(OC)cc12,1.253888,1
CHEMBL1082,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,24.114146,1
CHEMBL1082007,CCCCN(CC)c1nc2c(S(=O)(=O)c3ccc(C)cc3)nnn2c2cc(OC)c(OC)cc12,1.499129,1
